2025-03-23 23:32:24|DEPOSIT| £100
2025-03-23 23:59:19|DEPOSIT| £38929
2025-03-23 23:59:47|DEPOSIT| £3.89829e+07
2025-03-24 00:00:50|DEPOSIT| £3.48293e+06
2025-04-03 17:07:01|TRANSFER_IN| £100
2025-04-03 17:07:30|TRANSFER_OUT| £20
2025-04-03 17:33:43|INTEREST APPLIED| £10.2
2025-04-03 17:33:43|TRANSFER FROM MAIN| £500
2025-04-03 17:33:57|INTEREST APPLIED| £8.404
2025-04-03 17:33:57|TRANSFER TO MAIN| £100
2025-04-03 20:00:01|INTEREST APPLIED| £2.2
2025-04-03 20:00:01|TRANSFER FROM MAIN| £100
2025-04-03 20:01:59|TRANSFER FROM MAIN| £100
2025-04-03 20:03:19|INTEREST APPLIED| £107.8
2025-04-03 20:03:19|TRANSFER FROM MAIN| £100
2025-04-03 20:39:57|INTEREST APPLIED| £2.2
2025-04-03 20:39:57|TRANSFER FROM MAIN| £100
2025-04-03 20:40:58|INTEREST APPLIED| £2.044
2025-04-03 20:40:58|TRANSFER TO MAIN| £10
2025-04-03 20:42:11|INTEREST APPLIED| £2.28488
2025-04-03 20:42:11|TRANSFER FROM MAIN| £10
2025-04-03 20:57:00|INTEREST APPLIED| £0.4
2025-04-03 20:57:00|TRANSFER FROM MAIN| £10
2025-04-03 20:57:07|INTEREST APPLIED| £0.228
2025-04-03 20:57:07|TRANSFER TO MAIN| £9
2025-04-03 20:57:10|INTEREST APPLIED| £2.23256
2025-04-03 20:57:10|TRANSFER FROM MAIN| £100
2025-04-03 20:59:35|INTEREST APPLIED| £2.2
2025-04-03 20:59:35|TRANSFER FROM MAIN| £100
2025-04-03 20:59:38|INTEREST APPLIED| £10.684
2025-04-03 20:59:38|TRANSFER FROM MAIN| £422
2025-04-03 20:59:47|INTEREST APPLIED| £10.4577
2025-04-03 20:59:47|TRANSFER TO MAIN| £22
2025-04-03 20:59:54|INTEREST APPLIED| £10.6868
2025-04-03 20:59:54|TRANSFER FROM MAIN| £1
2025-04-03 21:00:11|INTEREST APPLIED| £12.9006
2025-04-03 21:00:11|TRANSFER FROM MAIN| £100
2025-04-03 21:55:51|INTEREST APPLIED| £20.2
2025-04-03 21:55:51|TRANSFER FROM MAIN| £1000
2025-04-03 21:58:21|INTEREST APPLIED| £18.604
2025-04-03 21:58:21|TRANSFER TO MAIN| £100
2025-04-03 22:30:17|INTEREST APPLIED| £2.2
2025-04-03 22:30:17|TRANSFER FROM MAIN| £100
2025-04-03 22:40:50|INTEREST APPLIED| £2.2
2025-04-03 22:40:50|TRANSFER FROM MAIN| £100
2025-04-03 22:40:57|INTEREST APPLIED| £0.244
2025-04-03 22:40:57|TRANSFER TO MAIN| £100
